date,clean_primary,reconstructed,origin,source_sensor,climatology_mean,climatology_std,zscore
2024-06-01,,0.28020304402420165,extrapolated,,,,
2024-06-02,,0.2798430009815267,extrapolated,,,,
2024-06-03,,0.2816416104565753,extrapolated,,,,
2024-06-04,0.26366384850734104,0.26366384850734104,observed,sentinel2,,,
2024-06-05,,0.28941587439282423,interpolated,landsat,,,
2024-06-06,,0.2871215232431088,interpolated,,,,
2024-06-07,,0.2879998453090498,interpolated,,,,
2024-06-08,,0.28942426848152086,interpolated,,,,
2024-06-09,,0.2834664202663265,interpolated,sentinel2,,,
2024-06-10,,0.2887239354213504,interpolated,,,,
2024-06-11,,0.2903893333419916,interpolated,,,,
2024-06-12,,0.2900827453377664,interpolated,landsat,,,
2024-06-13,,0.2925636095382586,interpolated,,,,
2024-06-14,0.25545343102956075,0.25545343102956075,observed,sentinel2,,,
2024-06-15,,0.2811610736870884,interpolated,,,,
2024-06-16,,0.2786275845146022,interpolated,,,,
2024-06-17,,0.27839884365372713,interpolated,,,,
2024-06-18,,0.2775109326096616,interpolated,,,,
2024-06-19,,0.27067146329990255,interpolated,sentinel2,,,
2024-06-20,0.32315501713467926,0.32315501713467926,observed,landsat,0.21081067604847248,0.010704935300770003,10.494630554014266
2024-06-21,,0.2645645265655148,interpolated,,,,
2024-06-22,,0.2624293314679965,interpolated,,,,
2024-06-23,,0.2605044397006902,interpolated,,,,
2024-06-24,0.24239805321328056,0.24239805321328056,observed,sentinel2,,,
2024-06-25,,0.24882493050504514,interpolated,,,,
2024-06-26,,0.2462420595694665,interpolated,,,,
2024-06-27,,0.24646512047422936,interpolated,,,,
2024-06-28,,0.24680486207933577,interpolated,landsat,,,
2024-06-29,,0.2392055518568859,interpolated,sentinel2,,,
2024-06-30,,0.24514580307939235,interpolated,,,,
2024-07-01,,0.24455802033334564,interpolated,,,,
2024-07-02,,0.24470288050028044,interpolated,,,,
2024-07-03,,0.2471610385171018,interpolated,,,,
2024-07-04,0.2353481238253656,0.2353481238253656,observed,sentinel2,,,
2024-07-05,,0.23535660561337307,interpolated,,,,
2024-07-06,,0.23261429541106207,interpolated,landsat,,,
2024-07-07,,0.2326583119034781,interpolated,,,,
2024-07-08,,0.23543433199813987,interpolated,,,,
2024-07-09,0.22830192125353976,0.22830192125353976,observed,sentinel2,,,
2024-07-10,,0.23125235835304256,interpolated,,,,
2024-07-11,,0.22922793168288474,interpolated,,,,
2024-07-12,,0.22955180321727361,interpolated,,,,
2024-07-13,,0.23233735094930735,interpolated,,,,
2024-07-14,0.21776191472414236,0.21776191472414236,observed,sentinel2,,,
2024-07-15,,0.23034266936022751,interpolated,,,,
2024-07-16,,0.2284135410896823,interpolated,,,,
2024-07-17,,0.22833922854913632,interpolated,,,,
2024-07-18,,0.23160576980787861,interpolated,,,,
2024-07-19,0.20778250150447455,0.20778250150447455,observed,sentinel2,,,
2024-07-20,,0.23012172426564018,interpolated,,,,
2024-07-21,,0.22722429005824357,interpolated,,,,
2024-07-22,0.2567211518050024,0.2567211518050024,observed,landsat,0.20050266898785987,0.033618694171088204,1.6722387410719222
2024-07-23,,0.24443727386026184,interpolated,,,,
2024-07-24,0.20259088658998048,0.20259088658998048,observed,sentinel2,,,
2024-07-25,,0.2342833663037454,interpolated,,,,
2024-07-26,,0.2321118982929555,interpolated,,,,
2024-07-27,,0.23203877466208347,interpolated,,,,
2024-07-28,,0.23240500601696149,interpolated,,,,
2024-07-29,,0.22601856655435618,interpolated,sentinel2,,,
2024-07-30,0.2696354679802956,0.2696354679802956,observed,landsat,0.2117226601246319,0.0386036001267814,1.5001918905352678
2024-07-31,,0.23703564655999002,extrapolated,,,,
