scope,candidate,n,rmse,mae,bias,p95_absolute_error,gap_score
assessment_blocks,ensemble,514,0.09052302056735413,0.06908128271684447,-0.010133418884784114,0.1814580953415311,2.84
assessment_points,ensemble,511,0.07267946225194127,0.048070553474860785,-0.0038733609624427923,0.15698772169291156,8.2
calibration_blocks,ensemble,622,0.09839426093939078,0.06852310538875055,-0.0005612516132351669,0.2094902282950748,0.48
calibration_points,ensemble,551,0.06940141078953865,0.04682874155844082,0.0003408182660794474,0.13700818086365904,9.18
development_blocks,ensemble,4430,0.09537379368484203,0.06891159864358598,-0.010185235643859815,0.2003319784556966,1.39
development_blocks,single,4430,0.09661739911707605,0.06987245378048396,-0.010517206749693267,0.20551993521216572,1.01
development_points,ensemble,4482,0.0692072111249384,0.04828239729895505,-0.00033130120467712425,0.1401618099019889,9.24
development_points,single,4482,0.06959093588393345,0.04863908974069474,-0.0001846389969616007,0.1408829608317167,9.12
temporal_blocks,ensemble,286,0.0789420956134911,0.0564929686990851,0.013265579393712564,0.18254546895634557,6.32
temporal_points,ensemble,282,0.0578720961310679,0.04103172561962069,0.00032644338065182385,0.10481903289271008,12.64
