anon_polygon_id,date,crop_type,reconstructed,origin,gap_days,truth,algorithm,scope,fold,mask_seed,year,gap_bucket,sensor,candidate,left_1_value,right_1_value,left_1_days,right_1_days,window_30_std,linear_estimate,abs_error,squared_error,truth_outside_neighbors_005,neighbor_disagreement
AOI-0037,2022-07-19,зерновые,0.3006680902928056,interpolated,13,-0.4026596719541511,catboost_residual,development_points,1,137,2022,9-30,landsat_ndvi,local_mixed,0.3174812571826366,0.2916475115193188,11.0,2.0,0.056844632150208706,0.29562193392906,0.7033277622469567,0.49466994114731166,True,0.02583374566331781
AOI-0015,2020-05-15,озимая пшеница,0.5759265283558904,interpolated,5,-0.0093856177627014,catboost_residual,development_points,2,42,2020,0-8,s2_ndvi,local_mixed,0.6269530022452944,0.5869371551953019,3.0,2.0,0.11543161110514971,0.6029434940152989,0.5853121461185918,0.3425903083939518,True,0.0400158470499925
AOI-0053,2022-08-03,озимая пшеница,0.457566064005216,interpolated,7,-0.0043460889132637,catboost_residual,development_points,2,137,2022,0-8,s2_ndvi,local_mixed,0.3839410926922447,0.5253286742779301,5.0,2.0,0.1016992478108261,0.4849322223963057,0.4619121529184797,0.21336283701378497,True,0.14138758158568537
AOI-0043,2021-06-06,зерновые,0.688542266703506,interpolated,5,0.2667170733120091,catboost_residual,development_points,4,42,2021,0-8,s2_ndvi,local_mixed,0.7029630345182022,0.5707138384881374,2.0,3.0,0.1033050074587464,0.6500633561061763,0.42182519339149693,0.17793649377977377,True,0.1322491960300648
AOI-0037,2022-05-27,зерновые,0.6100381330010921,interpolated,3,0.21004242639029,catboost_residual,development_points,1,42,2022,0-8,s2_ndvi,local_mixed,0.5986114003590666,0.6374735391742765,2.0,1.0,0.089111824343002,0.6245194929025398,0.3999957066108021,0.15999656530707485,True,0.038862138815209946
AOI-0053,2021-05-20,озимая пшеница,0.7156761982906421,interpolated,8,0.3207797997886148,catboost_residual,development_points,2,42,2021,0-8,s2_ndvi,local_mixed,0.6992538551957989,0.7216812446538236,5.0,3.0,0.08229171795667452,0.7132709736070643,0.3948963985020273,0.15594316554987195,True,0.022427389458024694
AOI-0015,2023-07-15,озимая пшеница,0.8136177371536704,interpolated,2,0.4350614099104601,catboost_residual,development_points,2,42,2023,0-8,landsat_ndvi,local_mixed,0.8387948304325517,0.8792034897888534,1.0,1.0,0.09276370374096474,0.8589991601107025,0.37855632724321026,0.14330489289586848,True,0.04040865935630178
AOI-0075,2014-06-04,озимая пшеница,0.7353652245878441,interpolated,16,0.3795850897935124,catboost_residual,development_points,0,42,2014,9-30,landsat_ndvi,local_mixed,0.7306669044222538,0.7894836424155969,10.0,6.0,0.11874586589330742,0.7674273656680932,0.35578013479433174,0.12657950431427287,True,0.05881673799334308
AOI-0041,2021-06-11,зерновые,0.525341738437466,interpolated,6,0.186078831354861,catboost_residual,development_points,3,137,2021,0-8,s2_ndvi,local_mixed,0.5044452088452089,0.5336492080120541,1.0,5.0,0.06652148664431715,0.5093125420396831,0.339262907082605,0.11509932012214026,True,0.02920399916684513
AOI-0064,2021-07-06,озимая пшеница,0.6802844962385601,interpolated,6,0.3486440055093147,catboost_residual,development_points,1,137,2021,0-8,s2_ndvi,local_mixed,0.6533355418723031,0.7453243181848186,3.0,3.0,0.10268453746619528,0.6993299300285609,0.33164049072924545,0.10998541509113474,True,0.09198877631251545
