         37889045 function calls (36920076 primitive calls) in 15.829 seconds

   Ordered by: cumulative time
   List reduced from 1144 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   15.829   15.829 model.py:400(predict_submission)
        1    0.123    0.123   15.810   15.810 model.py:288(reconstruct)
        1    0.142    0.142    9.143    9.143 candidates.py:95(residual_features)
    22803    0.131    0.000    6.800    0.000 indexing.py:883(__setitem__)
        1    0.219    0.219    5.127    5.127 uncertainty.py:59(apply_intervals)
87290/87286    0.492    0.000    3.587    0.000 series.py:392(__init__)
    22803    0.114    0.000    3.501    0.000 indexing.py:1786(_setitem_with_indexer)
    22782    0.109    0.000    3.209    0.000 indexing.py:1947(_setitem_with_indexer_split_path)
    22782    0.122    0.000    2.966    0.000 indexing.py:2112(_setitem_single_column)
    22803    0.082    0.000    2.960    0.000 indexing.py:745(_get_setitem_indexer)
    22803    0.037    0.000    2.757    0.000 indexing.py:986(_convert_tuple)
    45606    0.094    0.000    2.712    0.000 indexing.py:1453(_convert_to_indexer)
    22787    0.026    0.000    2.360    0.000 indexing.py:1533(_get_listlike_indexer)
    57186    0.065    0.000    2.353    0.000 frame.py:1514(iterrows)
    22789    0.086    0.000    2.312    0.000 base.py:6198(_get_indexer_strict)
   411748    0.306    0.000    2.023    0.000 generic.py:6306(__getattr__)
    22786    0.043    0.000    1.604    0.000 generic.py:6454(dtypes)
    45584    0.158    0.000    1.588    0.000 base.py:3827(get_indexer)
      728    0.033    0.000    1.446    0.002 candidates.py:30(field_season_segments)
7610638/7578686    0.890    0.000    1.282    0.000 {built-in method builtins.isinstance}
    62330    0.096    0.000    1.177    0.000 managers.py:1317(column_setitem)
    91715    0.288    0.000    1.154    0.000 construction.py:517(sanitize_array)
    22789    0.052    0.000    0.920    0.000 base.py:4330(reindex)
   254925    0.228    0.000    0.875    0.000 series.py:1107(__getitem__)
    22792    0.014    0.000    0.861    0.000 base.py:6174(get_indexer_for)
    39548    0.098    0.000    0.797    0.000 indexing.py:2578(__setitem__)
     1457    0.010    0.000    0.776    0.001 datetimes.py:678(to_datetime)
      956    0.067    0.000    0.748    0.001 candidates.py:162(sensor_dynamics_features)
    45572    0.477    0.000    0.617    0.000 range.py:421(_get_indexer)
   262107    0.118    0.000    0.608    0.000 base.py:5449(_can_hold_identifiers_and_holds_name)
      960    0.021    0.000    0.602    0.001 frame.py:11462(_reduce)
24842/24840    0.039    0.000    0.602    0.000 indexing.py:1177(__getitem__)
      958    0.005    0.000    0.598    0.001 generic.py:12427(_stat_function)
      956    0.002    0.000    0.591    0.001 frame.py:11725(median)
    39548    0.092    0.000    0.587    0.000 indexing.py:2530(__setitem__)
      956    0.001    0.000    0.585    0.001 generic.py:12489(median)
     1457    0.007    0.000    0.579    0.000 datetimes.py:316(_convert_listlike_datetimes)
3248048/2479007    0.421    0.000    0.559    0.000 {built-in method builtins.len}
      960    0.004    0.000    0.521    0.001 managers.py:1502(reduce)
   326227    0.149    0.000    0.515    0.000 base.py:3784(get_loc)
   357982    0.181    0.000    0.510    0.000 common.py:139(is_object_dtype)
    87286    0.130    0.000    0.472    0.000 managers.py:1882(from_array)
      960    0.002    0.000    0.462    0.000 blocks.py:400(reduce)
      960    0.002    0.000    0.455    0.000 frame.py:11485(blk_func)
  960/959    0.004    0.000    0.453    0.000 nanops.py:111(f)
