date,observed_primary,clean_primary,reconstructed,climatology_mean,climatology_std,zscore,origin,source_sensor,interval_lower,interval_upper,interval_level,interval_method,severity,temperature_c,precipitation_mm,weather_provider,support_count,gap_days,reference_years,quality_flags
2024-06-10,,,0.3564577134651756,,,,extrapolated,,0.18675838700880953,0.5261570399215416,0.9,empirical_residual_domain_shift,,22.0,0.7,open_meteo_era5_seamless,1,10,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-11,,,0.3545674666964665,,,,extrapolated,,0.18486814024010045,0.5242667931528325,0.9,empirical_residual_domain_shift,,22.3,1.5,open_meteo_era5_seamless,1,9,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-12,,,0.3534733828350218,,,,extrapolated,landsat,0.18377405637865574,0.5231727092913878,0.9,empirical_residual_domain_shift,,22.7,0.0,open_meteo_era5_seamless,1,8,0,domain_shift|edge_gap|input_nan|insufficient_reference|low_pixel_coverage|no_valid_pixels|reference_sensor_landsat
2024-06-13,,,0.35289952280398856,,,,extrapolated,,0.18320019634762252,0.5225988492603546,0.9,empirical_residual_domain_shift,,24.3,0.0,open_meteo_era5_seamless,1,7,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-14,,,0.35295498030780414,,,,extrapolated,,0.1832556538514381,0.5226543067641702,0.9,empirical_residual_domain_shift,,26.0,0.0,open_meteo_era5_seamless,1,6,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-15,,,0.35204948284223486,,,,extrapolated,,0.18235015638586882,0.5217488092986009,0.9,empirical_residual_domain_shift,,25.9,0.0,open_meteo_era5_seamless,1,5,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-16,,,0.35204948284223486,,,,extrapolated,,0.18235015638586882,0.5217488092986009,0.9,empirical_residual_domain_shift,,24.9,0.0,open_meteo_era5_seamless,1,4,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-17,,,0.35204948284223486,,,,extrapolated,,0.18235015638586882,0.5217488092986009,0.9,empirical_residual_domain_shift,,25.9,0.0,open_meteo_era5_seamless,1,3,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-18,,,0.3513966310531984,,,,extrapolated,,0.18169730459683237,0.5210959575095644,0.9,empirical_residual_domain_shift,,21.6,0.7,open_meteo_era5_seamless,1,2,0,domain_shift|edge_gap|input_nan|insufficient_reference|reference_sensor_landsat
2024-06-19,,,0.3513966310531984,,,,extrapolated,sentinel2,0.18169730459683237,0.5210959575095644,0.9,empirical_residual_domain_shift,,19.4,3.5,open_meteo_era5_seamless,1,1,0,domain_shift|edge_gap|input_nan|insufficient_reference|low_pixel_coverage|no_valid_pixels|reference_sensor_landsat
2024-06-20,0.32315501713467926,0.32315501713467926,0.32315501713467926,,,,observed,landsat,,,,not_calibrated,,20.5,0.0,open_meteo_era5_seamless,1,0,0,insufficient_reference|reference_sensor_landsat
